time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-01-28 19:00:00,True,False,winter,0.087,0.103,0.0
2024-01-29 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-29 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-29 08:00:00,False,False,winter,0.182,0.103,0.235
2024-01-29 09:00:00,False,False,winter,0.182,0.103,0.517
2024-01-29 10:00:00,False,False,winter,0.182,0.103,0.755
2024-01-29 11:00:00,False,False,winter,0.182,0.103,1.095
2024-01-29 12:00:00,False,False,winter,0.122,0.103,1.473
2024-01-29 13:00:00,False,False,winter,0.122,0.103,2.269
2024-01-29 14:00:00,False,False,winter,0.122,0.103,1.353
2024-01-29 15:00:00,False,False,winter,0.122,0.103,2.045
2024-01-29 16:00:00,False,False,winter,0.122,0.103,0.495
2024-01-29 17:00:00,False,False,winter,0.182,0.103,0.008
2024-01-29 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-30 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-30 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-30 08:00:00,False,False,winter,0.182,0.103,0.011
2024-01-30 09:00:00,False,False,winter,0.182,0.103,0.118
2024-01-30 10:00:00,False,False,winter,0.182,0.103,0.332
2024-01-30 11:00:00,False,False,winter,0.182,0.103,0.362
2024-01-30 12:00:00,False,False,winter,0.122,0.103,0.471
2024-01-30 13:00:00,False,False,winter,0.122,0.103,0.537
2024-01-30 14:00:00,False,False,winter,0.122,0.103,0.598
2024-01-30 15:00:00,False,False,winter,0.122,0.103,0.272
2024-01-30 16:00:00,False,False,winter,0.122,0.103,0.1
2024-01-30 17:00:00,False,False,winter,0.182,0.103,0.001
2024-01-30 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-31 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-31 07:00:00,False,False,winter,0.182,0.103,0.002
2024-01-31 08:00:00,False,False,winter,0.182,0.103,0.106
2024-01-31 09:00:00,False,False,winter,0.182,0.103,0.324
2024-01-31 10:00:00,False,False,winter,0.182,0.103,0.699
2024-01-31 11:00:00,False,False,winter,0.182,0.103,1.178
2024-01-31 12:00:00,False,False,winter,0.122,0.103,1.031
2024-01-31 13:00:00,False,False,winter,0.122,0.103,0.929
2024-01-31 14:00:00,False,False,winter,0.122,0.103,0.62
2024-01-31 15:00:00,False,False,winter,0.122,0.103,0.178
2024-01-31 16:00:00,False,False,winter,0.122,0.103,0.09
2024-01-31 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-31 19:00:00,False,False,winter,0.087,0.103,0.0
2024-02-01 05:00:00,False,False,winter,0.087,0.103,0.0
2024-02-01 07:00:00,False,False,winter,0.182,0.103,0.0
